customer_id,first_name,last_name,email,phone_number,full_address,postal_code,default_credit_card_num,default_credit_card_type
53,Alex,Brown,alex.brown53@example.com,890.678.9012,5050 Cedar Ln,M4N5O6,5500000000000004,VS
54,Emily,Taylor,emily.taylor54@example.com,901.789.0123,5151 Elm St,P7Q8R9,340000000000009,AX
55,Michael,Anderson,michael.anderson55@example.com,123.890.1234,5252 Birch Blvd,S1T2U3,4111111111111111,MC
56,Sarah,Thomas,sarah.thomas56@example.com,234.901.2345,5353 Spruce Ct,V4W5X6,5500000000000004,VS
57,Chris,Jackson,chris.jackson57@example.com,345.012.3456,5454 Main St,Y7Z8A9,340000000000009,AX
58,Olivia,White,olivia.white58@example.com,456.123.4567,5555 Oak Ave,B1C2D3,4111111111111111,MC
59,David,Harris,david.harris59@example.com,567.234.5678,5656 Pine Rd,E4F5G6,5500000000000004,VS
60,Sophia,Martin,sophia.martin60@example.com,678.345.6789,5757 Maple Dr,H7I8J9,340000000000009,AX
61,John,Smith,john.smith61@example.com,789.456.7890,5858 Cedar Ln,K1L2M3,4111111111111111,MC
62,Jane,Johnson,jane.johnson62@example.com,890.567.8901,5959 Elm St,N4O5P6,5500000000000004,VS
63,Alex,Brown,alex.brown63@example.com,901.678.9012,6060 Birch Blvd,Q7R8S9,340000000000009,AX
64,Emily,Taylor,emily.taylor64@example.com,123.789.0123,6161 Spruce Ct,T1U2V3,4111111111111111,MC
65,Michael,Anderson,michael.anderson65@example.com,234.890.1234,6262 Main St,W4X5Y6,5500000000000004,VS
66,Sarah,Thomas,sarah.thomas66@example.com,345.901.2345,6363 Oak Ave,Z7A8B9,340000000000009,AX
67,Chris,Jackson,chris.jackson67@example.com,456.012.3456,6464 Pine Rd,C1D2E3,4111111111111111,MC
68,Olivia,White,olivia.white68@example.com,567.123.4567,6565 Maple Dr,F4G5H6,5500000000000004,VS
69,David,Harris,david.harris69@example.com,678.234.5678,6666 Cedar Ln,J7K8L9,340000000000009,AX
70,Sophia,Martin,sophia.martin70@example.com,789.345.6789,6767 Elm St,M1N2O3,4111111111111111,MC
71,John,Smith,john.smith71@example.com,890.456.7890,6868 Birch Blvd,P4Q5R6,5500000000000004,VS
72,Jane,Johnson,jane.johnson72@example.com,901.567.8901,6969 Spruce Ct,T7U8V9,340000000000009,AX
73,Alex,Brown,alex.brown73@example.com,123.678.9012,7070 Main St,Y1Z2A3,4111111111111111,MC
74,Emily,Taylor,emily.taylor74@example.com,234.789.0123,7171 Oak Ave,D4E5F6,5500000000000004,VS
75,Michael,Anderson,michael.anderson75@example.com,345.890.1234,7272 Pine Rd,G7H8I9,340000000000009,AX
76,Sarah,Thomas,sarah.thomas76@example.com,456.901.2345,7373 Maple Dr,J1K2L3,4111111111111111,MC
77,Chris,Jackson,chris.jackson77@example.com,567.012.3456,7474 Cedar Ln,M4N5O6,5500000000000004,VS
78,Olivia,White,olivia.white78@example.com,678.123.4567,7575 Elm St,P7Q8R9,340000000000009,AX
79,David,Harris,david.harris79@example.com,789.234.5678,7676 Birch Blvd,S1T2U3,4111111111111111,MC
80,Sophia,Martin,sophia.martin80@example.com,890.345.6789,7777 Spruce Ct,V4W5X6,5500000000000004,VS
81,John,Smith,john.smith81@example.com,901.456.7890,7878 Main St,Y7Z8A9,340000000000009,AX
82,Jane,Johnson,jane.johnson82@example.com,123.567.8901,7979 Oak Ave,B1C2D3,4111111111111111,MC
83,Alex,Brown,alex.brown83@example.com,234.678.9012,8080 Pine Rd,E4F5G6,5500000000000004,VS
84,Emily,Taylor,emily.taylor84@example.com,345.789.0123,8181 Maple Dr,H7I8J9,340000000000009,AX
85,Michael,Anderson,michael.anderson85@example.com,456.890.1234,8282 Cedar Ln,K1L2M3,4111111111111111,MC
86,Sarah,Thomas,sarah.thomas86@example.com,567.901.2345,8383 Elm St,N4O5P6,5500000000000004,VS
87,Chris,Jackson,chris.jackson87@example.com,678.012.3456,8484 Birch Blvd,Q7R8S9,340000000000009,AX
88,Olivia,White,olivia.white88@example.com,789.123.4567,8585 Spruce Ct,T1U2V3,4111111111111111,MC
89,David,Harris,david.harris89@example.com,890.234.5678,8686 Main St,W4X5Y6,5500000000000004,VS
90,Sophia,Martin,sophia.martin90@example.com,901.345.6789,8787 Oak Ave,Z7A8B9,340000000000009,AX
91,John,Smith,john.smith91@example.com,123.456.7891,8888 Pine Rd,C1D2E3,4111111111111111,MC
92,Jane,Johnson,jane.johnson92@example.com,234.567.8902,8989 Maple Dr,F4G5H6,5500000000000004,VS
93,Alex,Brown,alex.brown93@example.com,345.678.9013,9090 Cedar Ln,J7K8L9,340000000000009,AX
94,Emily,Taylor,emily.taylor94@example.com,456.789.0124,9191 Elm St,M1N2O3,4111111111111111,MC
95,Michael,Anderson,michael.anderson95@example.com,567.890.1235,9292 Birch Blvd,P4Q5R6,5500000000000004,VS
96,Sarah,Thomas,sarah.thomas96@example.com,678.901.2346,9393 Spruce Ct,T7U8V9,340000000000009,AX
97,Chris,Jackson,chris.jackson97@example.com,789.012.3457,9494 Main St,Y1Z2A3,4111111111111111,MC
98,Olivia,White,olivia.white98@example.com,890.123.4568,9595 Oak Ave,D4E5F6,5500000000000004,VS
99,David,Harris,david.harris99@example.com,901.234.5679,9696 Pine Rd,G7H8I9,340000000000009,AX
100,Sophia,Martin,sophia.martin100@example.com,123.345.6790,9797 Maple Dr,J1K2L3,4111111111111111,MC
